john: john 
dickinson: dickinson 
penman: penman 
politician: politician 
statesman: statesman 
biography: biography 
skip: skip 
main: main 
content: content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crime 
scandal: scandal 
video: video 
contact: contact 
u: us u 
advertise: advertise 
privacy: privacy 
notice: notice 
term: term terms 
use: use 
copyright: copyright 
policy: policy 
ad: ad 
choice: choices 
accessibility: accessibility 
support: support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletter 
photo: photo 
stock: stock 
montage: montage 
getty: getty 
image: images 
quick: quick 
fact: facts fact 
name: name 
birth: birth 
date: date 
november: november 
death: death 
education: education 
middle: middle 
temple: temple 
place: place 
talbot: talbot 
county: county 
maryland: maryland 
wilmington: wilmington 
delaware: delaware 
nickname: nickname 
revolution: revolution 
cite: cite 
page: page 
publish: publish 
jan: jan 
comment: comment 
american: american 
delegate: delegates delegate 
continental: continental 
congress: congress 
one: one 
writer: writers 
article: article articles 
confederation: confederation 
founding: founding 
father: fathers father 
united: united 
state: state states 
america: america 
known: known 
fame: fame 
author: author 
letter: letters 
farmer: farmer 
pennsylvania: pennsylvania 
inhabitant: inhabitants 
british: british 
colony: colonies 
helped: helped 
turn: turn 
public: public 
opinion: opinion 
townshend: townshend 
act: act acts 
enacted: enacted 
parliament: parliament 
also: also 
draft: draft 
craft: craft 
constitution: constitution 
legacy: legacy 
honored: honored 
college: college 
penn: penn 
school: school 
law: law 
carlisle: carlisle 
early: early 
year: years year 
born: born 
wealthy: wealthy 
quaker: quaker 
family: family 
six: six 
later: later 
moved: moved 
estate: estate 
age: age 
followed: followed 
judge: judge 
study: study 
philadelphia: philadelphia 
office: office 
went: went 
overseas: overseas 
spent: spent 
four: four 
studying: studying 
london: london 
court: court 
system: system 
heard: heard 
leading: leading 
mind: minds 
day: day 
discus: discuss 
enlightenment: enlightenment 
philosophy: philosophy 
individual: individual 
right: right rights 
experience: experience 
brought: brought 
sharp: sharp 
focus: focus 
relationship: relationship 
politics: politics 
would: would 
influence: influence 
rest: rest 
life: life lives 
returning: returning 
practice: practice 
saw: saw 
reputation: reputation 
legal: legal 
field: field 
grow: grow 
three: three 
made: made 
first: first 
foray: foray 
soon: soon 
elected: elected 
legislature: legislature 
assembly: assembly 
possible: possible 
residency: residency 
region: regions 
challenged: challenged 
benjamin: benjamin 
franklin: franklin 
issue: issue 
replacing: replacing 
proprietary: proprietary 
charter: charter 
royal: royal 
lost: lost 
debate: debate 
